time,value
2017-01-01T00:45:00.68,1.9430858
2017-01-01T00:45:03.83,1.9471288
2017-01-01T00:45:04.283,1.9520507
2017-01-01T00:45:04.687,1.9567968
2017-01-01T00:45:05.077,1.9617187
2017-01-01T00:45:06.387,1.9659374
2017-01-01T00:45:06.777,1.9701562
2017-01-01T00:45:07.183,1.9743749
2017-01-01T00:45:18.587,1.9701562
2017-01-01T00:45:19.18,1.9659374
2017-01-01T00:45:19.68,1.9617187
2017-01-01T00:45:21.583,1.9576757
2017-01-01T00:45:25.887,1.9618944
2017-01-01T00:45:28.087,1.9661132
2017-01-01T00:45:29.087,1.9706835
2017-01-01T00:45:29.68,1.975078
2017-01-01T00:45:30.38,1.979121
2017-01-01T00:45:30.88,1.9833398
2017-01-01T00:45:31.69,1.9875585
2017-01-01T00:45:32.877,1.9917772
2017-01-01T00:45:39.99,1.9961717
2017-01-01T00:45:40.287,2.0002148
2017-01-01T00:45:40.583,2.0046093
2017-01-01T00:45:40.88,2.009531
2017-01-01T00:45:41.177,2.0135741
2017-01-01T00:45:41.83,2.0181444
2017-01-01T00:45:46.48,2.0135741
2017-01-01T00:45:47.183,2.0090039
2017-01-01T00:45:47.977,2.0049608
2017-01-01T00:45:49.757,2.000918
2017-01-01T00:46:08.087,2.0051365
2017-01-01T00:46:14.28,2.0093553
2017-01-01T00:46:27.757,2.0133984
2017-01-01T00:46:31.487,2.0174413
2017-01-01T00:46:32.08,2.02166
2017-01-01T00:46:32.577,2.025879
2017-01-01T00:46:33.077,2.0304492
2017-01-01T00:46:33.78,2.034668
2017-01-01T00:46:40.707,2.0387108
2017-01-01T00:46:45.497,2.034668
2017-01-01T00:46:47.697,2.0388865
2017-01-01T00:46:51.297,2.0429296
2017-01-01T00:47:09.193,2.0469725
2017-01-01T00:47:09.8,2.0515428
2017-01-01T00:47:10.393,2.056289
2017-01-01T00:47:27.397,2.0559373
2017-01-01T00:47:28.193,2.0554101
2017-01-01T00:47:28.303,2.0552342
2017-01-01T00:47:28.397,2.0554101
2017-01-01T00:47:28.503,2.0552342
2017-01-01T00:47:28.597,2.0554101
2017-01-01T00:47:29.003,2.0552342
2017-01-01T00:47:29.097,2.0554101
2017-01-01T00:47:29.19,2.0552342
2017-01-01T00:47:29.503,2.0554101
2017-01-01T00:47:30.703,2.0555859
2017-01-01T00:47:30.797,2.0554101
2017-01-01T00:47:30.89,2.0555859
2017-01-01T00:47:31.407,2.0557616
2017-01-01T00:47:31.5,2.0555859
2017-01-01T00:47:31.593,2.0557616
2017-01-01T00:47:32.497,2.0559373
2017-01-01T00:47:32.593,2.0557616
2017-01-01T00:47:32.7,2.0559373
2017-01-01T00:47:32.903,2.0557616
2017-01-01T00:47:32.997,2.0559373
2017-01-01T00:47:33.107,2.0557616
2017-01-01T00:47:33.2,2.0559373
2017-01-01T00:47:33.293,2.0557616
2017-01-01T00:47:33.403,2.0559373
2017-01-01T00:47:33.793,2.0557616
2017-01-01T00:47:34.107,2.0559373
2017-01-01T00:47:34.197,2.0557616
