unix,value
1515183344253,0.772290389110469
1515183374253,0.7406871572792
1515183404253,0.720142066557958
1515183434253,0.707543830996167
1515183464253,0.741599965138174
1515183494253,0.744385488584817
1515183524253,0.758226071162255
1515183554253,0.72992525553793
1515183584253,0.77065247847729
1515183614253,0.746871704257499
1515183644253,0.710350549249142
1515183674253,0.67955327652374
1515183704253,0.728245884123373
1515183734253,0.750731302309191
1515183764253,0.74712428552896
1515183794253,0.743946423588296
1515183824253,0.756428471815972
1515183854253,0.764657736832582
1515183884253,0.741796985683868
1515183914253,0.701629793085917
1515183944253,0.65794084575397
1515183974253,0.700525870360679
1515184004253,0.748550955298613
1515184034253,0.78821449139538
1515184064253,0.770329116573711
1515184094253,0.818779652341632
1515184124253,0.771779427640969
1515184154253,0.789394283801966
1515184184253,0.777829480184163
1515184214253,0.816591256026454
1515184244253,0.862428666843301
1515184274253,0.869824715875939
1515184304253,0.896711812655773
1515184334253,0.887894338456865
1515184364253,0.882481365619451
1515184394253,0.903544212739702
1515184424253,0.946123195065243
1515184454253,0.897636477601545
1515184484253,0.913594304008221
1515184514253,0.897452337805858
1515184544253,0.858041530245934
1515184574253,0.84969296136391
1515184604253,0.854564194802458
1515184634253,0.885678557625822
1515184664253,0.92826758552262
1515184694253,0.97304032485608
1515184724253,0.987238664383646
1515184754253,0.98998280036728
1515184784253,1.02683398685271
1515184814253,1.04296042930473
1515184844253,0.998646437492523
1515184874253,0.990400947020576
1515184904253,1.01880403266698
1515184934253,1.06359407955948
1515184964253,1.02626837658522
1515184994253,0.995827238026926
1515185024253,0.966198921257723
1515185054253,0.955990294439714
1515185084253,0.911277433699592
1515185114253,0.946883032073678
1515185144253,0.946668780220984
1515185174253,0.992894506637424
1515185204253,1.0261584946309
1515185234253,0.978123941727972
1515185264253,0.958505756691334
1515185294253,0.964588552650339
1515185324253,0.956904183145103
1515185354253,0.964414264943644
1515185384253,0.942312655966875
1515185414253,0.967642792066393
1515185444253,0.971885947800189
1515185474253,0.982854713491563
1515185504253,1.0251261521015
1515185534253,1.06840736715515
1515185564253,1.11765098211712
1515185594253,1.1323106036672
1515185624253,1.12002439483536
1515185654253,1.08693511694993
1515185684253,1.1340096251499
1515185714253,1.12135151099477
1515185744253,1.10560370723512
1515185774253,1.10585934655082
1515185804253,1.1366230162264
1515185834253,1.15893177015657
1515185864253,1.19200753781107
1515185894253,1.19609043909986
1515185924253,1.22508340248609
1515185954253,1.25718045237343
1515185984253,1.23568868114878
1515186014253,1.21071684686966
1515186044253,1.21140801075912
1515186074253,1.21419561990266
1515186104253,1.26042176317909
1515186134253,1.29077399121168
1515186164253,1.32484627686201
1515186194253,1.28920974288565
1515186224253,1.29759718601014
